0 0
0 1
1 1
1 0
0 0
-1 0
-2 0
-3 0
-3 1
-3 2
-3 1
-2 1
-2 2
-2 3
-3 3
-4 3
-5 3
-5 2
-6 2
-6 1
-5 1
-4 1
-4 0
-4 -1
-5 -1
-5 0
-5 -1
-6 -1
-6 0
-6 1
-7 1
-7 2
-8 2
-8 1
-8 0
-8 -1
-8 -2
-8 -1
-7 -1
-8 -1
-7 -1
-6 -1
-5 -1
-5 0
-5 -1
-5 -2
-6 -2
-7 -2
-7 -1
-6 -1
-5 -1
-6 -1
-5 -1
-4 -1
-4 -2
-3 -2
-4 -2
-5 -2
-6 -2
-6 -1
-6 0
-6 1
-6 2
-6 1
-6 2
-6 3
-7 3
-8 3
-8 2
-8 3
-8 2
-7 2
-8 2
-8 3
-8 2
-7 2
-6 2
-7 2
-7 3
-8 3
-7 3
-7 4
-7 3
-8 3
-8 4
-8 5
-8 4
-7 4
-8 4
-8 3
-9 3
-9 2
-9 3
-9 2
-9 3
-8 3
-8 2
-8 3
-8 2
-9 2
-10 2
-9 2
-9 1
-9 0
-10 0
-10 -1
-10 0
-10 1
-9 1
-9 0
-9 1
-9 2
-9 1
-9 2
-10 2
-9 2
-9 3
-9 4
-9 3
-9 4
-9 3
-10 3
-10 4
-10 3
-11 3
-12 3
-11 3
-11 2
-12 2
-11 2
-10 2
-10 1
-11 1
-12 1
-12 2
-11 2
-10 2
-10 1
-10 0
-9 0
-10 0
-10 1
-9 1
-8 1
-8 0
-7 0
-7 -1
-6 -1
-5 -1
-6 -1
-5 -1
-4 -1
-3 -1
-3 0
-4 0
-3 0
-4 0
-4 -1
-3 -1
-3 -2
-2 -2
-2 -3
-1 -3
-1 -4
-1 -5
-2 -5
-2 -4
-1 -4
-2 -4
-2 -5
-3 -5
-3 -4
-4 -4
-5 -4
-4 -4
-3 -4
-3 -5
-3 -6
-3 -7
-3 -6
-3 -7
-3 -8
-3 -7
-4 -7
-3 -7
-3 -8
-4 -8
-4 -7
-3 -7
-3 -6
-3 -5
-2 -5
-1 -5
0 -5
0 -6
0 -5
0 -4
0 -5
0 -6
1 -6
0 -6
0 -7
-1 -7
0 -7
0 -6
-1 -6
-1 -7
0 -7
1 -7
2 -7
2 -8
2 -9
1 -9
2 -9
2 -10
1 -10
1 -11
2 -11
2 -10
2 -11
2 -12
1 -12
1 -13
1 -12
0 -12
0 -13
0 -12
0 -11
1 -11
1 -12
1 -13
1 -12
2 -12
2 -11
1 -11
1 -10
1 -9
1 -8
2 -8
2 -7
2 -6
2 -5
2 -6
1 -6
2 -6
2 -5
1 -5
2 -5
3 -5
4 -5
5 -5
6 -5
6 -4
5 -4
5 -3
4 -3
4 -2
4 -3
5 -3
6 -3
6 -4
6 -3
7 -3
8 -3
8 -2
7 -2
7 -3
8 -3
7 -3
7 -4
7 -5
8 -5
7 -5
7 -4
6 -4
6 -3
5 -3
6 -3
6 -4
6 -3
7 -3
7 -4
8 -4
7 -4
6 -4
5 -4
6 -4
5 -4
4 -4
3 -4
2 -4
1 -4
2 -4
3 -4
3 -3
4 -3
4 -4
4 -5
4 -6
4 -7
3 -7
4 -7
3 -7
4 -7
3 -7
4 -7
4 -8
5 -8
6 -8
7 -8
6 -8
6 -9
6 -10
6 -11
5 -11
5 -10
5 -11
5 -10
6 -10
6 -9
7 -9
8 -9
8 -8
9 -8
9 -7
10 -7
10 -8
11 -8
11 -9
10 -9
11 -9
10 -9
11 -9
11 -8
10 -8
11 -8
10 -8
10 -9
9 -9
8 -9
9 -9
9 -10
10 -10
10 -11
9 -11
8 -11
8 -12
9 -12
9 -11
9 -12
9 -11
10 -11
11 -11
10 -11
10 -10
11 -10
11 -11
11 -12
10 -12
10 -13
9 -13
9 -14
9 -13
10 -13
11 -13
10 -13
10 -14
10 -13
10 -14
11 -14
10 -14
10 -15
10 -16
11 -16
11 -17
11 -18
11 -17
11 -18
11 -19
10 -19
11 -19
10 -19
10 -18
10 -19
11 -19
11 -20
10 -20
10 -21
9 -21
8 -21
8 -22
9 -22
9 -21
10 -21
9 -21
9 -20
9 -21
10 -21
11 -21
10 -21
9 -21
9 -20
8 -20
9 -20
9 -21
9 -22
9 -23
8 -23
8 -22
7 -22
8 -22
8 -23
8 -22
9 -22
8 -22
9 -22
9 -21
9 -22
9 -23
10 -23
9 -23
8 -23
8 -22
7 -22
7 -21
6 -21
